carat,cut,color,clarity,depth,table,x,y,z
0.24,Ideal,G,VVS1,62.1,56.0,3.97,4.0,2.47
0.58,Very Good,F,VVS2,60.0,57.0,5.44,5.42,3.26
0.4,Ideal,E,VVS2,62.1,55.0,4.76,4.74,2.95
0.43,Premium,E,VVS2,60.8,57.0,4.92,4.89,2.98
1.55,Ideal,E,SI2,62.3,55.0,7.44,7.37,4.61
1.0,Fair,E,SI2,55.4,62.0,6.63,6.59,3.66
0.51,Ideal,F,VS1,60.2,56.0,5.22,5.24,3.15
0.52,Ideal,D,VS2,62.0,56.0,5.17,5.19,3.21
0.62,Premium,E,VS2,60.0,59.0,5.58,5.56,3.34
1.14,Ideal,H,SI1,60.3,57.0,6.79,6.85,4.11
0.4,Ideal,D,SI2,62.8,56.0,4.73,4.7,2.96
1.83,Very Good,E,SI2,62.8,56.0,7.76,7.82,4.89
0.6,Fair,F,SI1,55.3,63.0,5.67,5.61,3.12
0.7,Very Good,F,SI1,63.5,56.0,5.58,5.66,3.57
0.53,Good,H,IF,61.2,65.0,5.16,5.27,3.19
1.55,Ideal,I,VS1,61.2,55.0,7.49,7.47,4.58
0.98,Fair,F,SI2,61.6,66.0,6.46,6.24,3.92
0.4,Ideal,E,VVS1,62.6,56.0,4.73,4.7,2.95
1.5,Very Good,F,SI1,62.8,56.0,7.26,7.33,4.58
0.35,Very Good,I,VS1,60.7,62.0,4.53,4.59,2.77
